metric_time,resource_id,deployment_name,model_name,processed_prompt_tokens,generated_tokens,total_tokens,requests,latency_ms,throttled_count,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-08-28T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,1003539,337261,1340800,2754,2482.7,5,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-28,batch-2026-09-04,MOCK
2026-08-28T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,241241,83388,324629,3781,2292.4,2,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-28,batch-2026-09-04,MOCK
2026-08-28T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,1123042,611865,1734907,1409,1449.6,12,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-28,batch-2026-09-04,MOCK
2026-08-27T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,408371,271526,679897,4732,3075.3,4,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-27,batch-2026-09-04,MOCK
2026-08-27T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,353263,131253,484516,520,1584.6,9,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-27,batch-2026-09-04,MOCK
2026-08-27T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,655616,360969,1016585,1063,3165.2,6,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-27,batch-2026-09-04,MOCK
2026-08-26T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,1355603,821710,2177313,200,1713.5,15,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-26,batch-2026-09-04,MOCK
2026-08-26T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,1325034,865354,2190388,2048,915.7,15,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-26,batch-2026-09-04,MOCK
2026-08-26T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,910149,433913,1344062,153,1007.6,17,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-26,batch-2026-09-04,MOCK
2026-08-25T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,1349743,744321,2094064,1800,361.4,4,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-25,batch-2026-09-04,MOCK
2026-08-25T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,1420020,624252,2044272,1290,3017.6,18,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-25,batch-2026-09-04,MOCK
