usage_date,capacity_id,sku,meter_name,quantity,cost_usd,tags_json,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-08-28,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-28,batch-2026-09-04,MOCK
2026-08-27,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-27,batch-2026-09-04,MOCK
2026-08-26,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-26,batch-2026-09-04,MOCK
2026-08-25,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-25,batch-2026-09-04,MOCK
2026-08-24,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-24,batch-2026-09-04,MOCK
2026-08-23,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-23,batch-2026-09-04,MOCK
2026-08-22,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-22,batch-2026-09-04,MOCK
2026-08-21,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-21,batch-2026-09-04,MOCK
2026-08-20,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-20,batch-2026-09-04,MOCK
2026-08-19,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-19,batch-2026-09-04,MOCK
