usage_date,login,sku,unit_type,quantity,model,model_multiplier,gross_amount,discount_amount,net_amount,repository_name,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-08-28,sam-chen,copilot_premium_request,premium_request,36,o3,10,14.4,0,14.4,contoso/platform,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,marco-silva,copilot_premium_request,premium_request,8,gpt-4.1,1,0.32,0,0.32,contoso/platform,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,kim-arroyo,copilot_premium_request,premium_request,29,code-review,13,15.08,0,15.08,contoso/checkout,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,robin-hale,copilot_premium_request,premium_request,3,claude-sonnet-4.5,1,0.12,0,0.12,contoso/platform,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-28,batch-2026-09-04,MOCK
2026-08-27,robin-hale,copilot_premium_request,premium_request,35,code-review,13,18.2,0,18.2,contoso/platform,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,dev-patel,copilot_premium_request,premium_request,2,code-review,13,1.04,0,1.04,contoso/platform,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,aisha-rahman,copilot_premium_request,premium_request,33,code-review,13,17.16,0,17.16,contoso/platform,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,lee-novak,copilot_premium_request,premium_request,32,o3,10,12.8,0,12.8,contoso/checkout,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-27,batch-2026-09-04,MOCK
2026-08-26,sam-chen,copilot_premium_request,premium_request,7,gpt-4.1,1,0.28,0,0.28,contoso/checkout,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,robin-hale,copilot_premium_request,premium_request,41,gpt-4.1,1,1.64,0,1.64,contoso/checkout,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,marco-silva,copilot_premium_request,premium_request,43,claude-sonnet-4.5,1,1.72,0,1.72,contoso/platform,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,jenny-oyelaran,copilot_premium_request,premium_request,56,claude-sonnet-4.5,1,2.24,0,2.24,contoso/platform,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-26,batch-2026-09-04,MOCK
2026-08-25,lee-novak,copilot_premium_request,premium_request,42,o3,10,16.8,0,16.8,contoso/checkout,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,kim-arroyo,copilot_premium_request,premium_request,2,claude-sonnet-4.5,1,0.08,0,0.08,contoso/search,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,aisha-rahman,copilot_premium_request,premium_request,3,code-review,13,1.56,0,1.56,contoso/checkout,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,marco-silva,copilot_premium_request,premium_request,4,gpt-4.1,1,0.16,0,0.16,contoso/checkout,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-25,batch-2026-09-04,MOCK
2026-08-24,sam-chen,copilot_premium_request,premium_request,59,claude-sonnet-4.5,1,2.36,0,2.36,contoso/search,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-24,batch-2026-09-04,MOCK
2026-08-24,kim-arroyo,copilot_premium_request,premium_request,25,o3,10,10.0,0,10.0,contoso/search,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-24,batch-2026-09-04,MOCK
2026-08-24,aisha-rahman,copilot_premium_request,premium_request,28,o3,10,11.2,0,11.2,contoso/search,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-24,batch-2026-09-04,MOCK
2026-08-24,lee-novak,copilot_premium_request,premium_request,25,gpt-4.1,1,1.0,0,1.0,contoso/platform,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-24,batch-2026-09-04,MOCK
2026-08-23,marco-silva,copilot_premium_request,premium_request,49,gpt-4.1,1,1.96,0,1.96,contoso/platform,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.settings.billing.usage,2026-08-23,batch-2026-09-04,MOCK
