snapshot_date,assignee_login,assignee_id,created_at,last_activity_at,last_activity_editor,plan_type,pending_cancellation_date,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-08-28,aisha-rahman,39005316,2026-06-01T00:00:00Z,2026-08-28T14:00:00Z,visualstudio,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,marco-silva,28229179,2026-06-01T00:00:00Z,2026-08-28T14:00:00Z,jetbrains,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,jenny-oyelaran,95141661,2026-06-01T00:00:00Z,2026-08-28T14:00:00Z,jetbrains,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,dev-patel,76731252,2026-06-01T00:00:00Z,,,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,sam-chen,86211158,2026-06-01T00:00:00Z,2026-08-28T14:00:00Z,vscode,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,robin-hale,61547237,2026-06-01T00:00:00Z,,,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,lee-novak,59626499,2026-06-01T00:00:00Z,2026-08-28T14:00:00Z,vscode,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,kim-arroyo,30027017,2026-06-01T00:00:00Z,,,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-28,batch-2026-09-04,MOCK
2026-08-27,aisha-rahman,39005316,2026-06-01T00:00:00Z,,,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,marco-silva,28229179,2026-06-01T00:00:00Z,2026-08-27T14:00:00Z,jetbrains,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,jenny-oyelaran,95141661,2026-06-01T00:00:00Z,,,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,dev-patel,76731252,2026-06-01T00:00:00Z,2026-08-27T14:00:00Z,vscode,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,sam-chen,86211158,2026-06-01T00:00:00Z,2026-08-27T14:00:00Z,jetbrains,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,robin-hale,61547237,2026-06-01T00:00:00Z,2026-08-27T14:00:00Z,jetbrains,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,lee-novak,59626499,2026-06-01T00:00:00Z,,,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,kim-arroyo,30027017,2026-06-01T00:00:00Z,2026-08-27T14:00:00Z,vscode,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-27,batch-2026-09-04,MOCK
2026-08-26,aisha-rahman,39005316,2026-06-01T00:00:00Z,2026-08-26T14:00:00Z,visualstudio,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,marco-silva,28229179,2026-06-01T00:00:00Z,,,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,jenny-oyelaran,95141661,2026-06-01T00:00:00Z,,,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,dev-patel,76731252,2026-06-01T00:00:00Z,,,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,sam-chen,86211158,2026-06-01T00:00:00Z,,,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,robin-hale,61547237,2026-06-01T00:00:00Z,2026-08-26T14:00:00Z,jetbrains,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,lee-novak,59626499,2026-06-01T00:00:00Z,2026-08-26T14:00:00Z,jetbrains,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,kim-arroyo,30027017,2026-06-01T00:00:00Z,,,enterprise,,2026-09-04T18:00:00Z,AI-FinOps-MOCK,github.orgs.copilot.billing.seats,2026-08-26,batch-2026-09-04,MOCK
