usage_date,environment_id,agent_id,agent_name,action_type,credit_rate,credits_consumed,cost_usd,session_count,owner_business_unit_key,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-08-28,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,classic_answer,1,4784,47.84,142,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,generative_answer,2,6914,69.14,194,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,agent_action,3,2623,26.23,52,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,ENV-PROD,claims-triage-agent,Claims Triage Agent,classic_answer,1,3546,35.46,42,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,ENV-PROD,claims-triage-agent,Claims Triage Agent,generative_answer,2,6642,66.42,78,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,ENV-PROD,claims-triage-agent,Claims Triage Agent,agent_action,3,6504,65.04,40,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,ENV-PROD,store-ops-assistant,Store Ops Assistant,classic_answer,1,6819,68.19,17,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,ENV-PROD,store-ops-assistant,Store Ops Assistant,generative_answer,2,3244,32.44,119,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,ENV-PROD,store-ops-assistant,Store Ops Assistant,agent_action,3,2728,27.28,144,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-28,batch-2026-09-04,MOCK
2026-08-27,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,classic_answer,1,1023,10.23,77,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,generative_answer,2,6335,63.35,157,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,agent_action,3,5640,56.4,29,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,ENV-PROD,claims-triage-agent,Claims Triage Agent,classic_answer,1,4564,45.64,126,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,ENV-PROD,claims-triage-agent,Claims Triage Agent,generative_answer,2,4684,46.84,102,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,ENV-PROD,claims-triage-agent,Claims Triage Agent,agent_action,3,954,9.54,137,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,ENV-PROD,store-ops-assistant,Store Ops Assistant,classic_answer,1,7539,75.39,155,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,ENV-PROD,store-ops-assistant,Store Ops Assistant,generative_answer,2,1867,18.67,104,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,ENV-PROD,store-ops-assistant,Store Ops Assistant,agent_action,3,1788,17.88,75,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-27,batch-2026-09-04,MOCK
2026-08-26,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,classic_answer,1,6835,68.35,36,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,generative_answer,2,7825,78.25,156,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,agent_action,3,6022,60.22,195,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,ENV-PROD,claims-triage-agent,Claims Triage Agent,classic_answer,1,1444,14.44,68,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,ENV-PROD,claims-triage-agent,Claims Triage Agent,generative_answer,2,6568,65.68,140,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,ENV-PROD,claims-triage-agent,Claims Triage Agent,agent_action,3,521,5.21,21,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,ENV-PROD,store-ops-assistant,Store Ops Assistant,classic_answer,1,7534,75.34,13,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,ENV-PROD,store-ops-assistant,Store Ops Assistant,generative_answer,2,2503,25.03,21,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,ENV-PROD,store-ops-assistant,Store Ops Assistant,agent_action,3,4364,43.64,103,BU-RETAIL,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-26,batch-2026-09-04,MOCK
2026-08-25,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,classic_answer,1,3637,36.37,48,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,generative_answer,2,1966,19.66,19,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,ENV-PROD,hr-helpdesk-bot,HR Helpdesk Bot,agent_action,3,5029,50.29,192,BU-TECH,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,ENV-PROD,claims-triage-agent,Claims Triage Agent,classic_answer,1,6567,65.67,177,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,ENV-PROD,claims-triage-agent,Claims Triage Agent,generative_answer,2,3935,39.35,67,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,ENV-PROD,claims-triage-agent,Claims Triage Agent,agent_action,3,3136,31.36,73,BU-INSURANCE,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.admin / dataverse.conversationtranscript,2026-08-25,batch-2026-09-04,MOCK
